id,product_id,created_at,units,date
1,205,1970-01-01 00:00:15,1,1970-01-01
2,338,1970-01-01 00:01:15,2,1970-01-01
3,461,1970-01-01 00:01:50,5,1970-01-01
4,705,1970-01-06 03:25:55,2,1970-01-06
5,919,1970-01-06 03:26:15,2,1970-01-06
6,216,1970-01-06 03:26:35,2,1970-01-06
7,668,2009-11-14 06:41:05,5,2009-11-14
8,705,2009-11-14 06:41:10,2,2009-11-14
9,900,2009-11-14 06:41:15,5,2009-11-14
10,275,2009-11-14 06:41:20,1,2009-11-14
11,80,2009-11-14 06:42:10,1,2009-11-14
12,88,2010-03-26 21:46:45,1,2010-03-26
13,240,2010-03-26 21:47:00,5,2010-03-26
14,226,2010-03-26 21:47:20,5,2010-03-26
15,463,2010-03-26 21:48:00,3,2010-03-26
16,1014,2010-03-26 21:48:30,4,2010-03-26
17,900,2010-03-27 20:20:55,1,2010-03-27
18,283,2010-03-27 20:21:30,1,2010-03-27
19,42,2010-03-27 20:22:15,1,2010-03-27
20,902,2012-12-21 06:17:10,1,2012-12-21
21,527,2012-12-21 06:18:10,2,2012-12-21
22,54,2012-12-21 06:18:50,5,2012-12-21
